date,time_stamp,elapsed_hours,aligned_time_hours,measured_cooling_power_kw,measured_rack_inlet_water_temp_c,predicted_cooling_power_kw,predicted_rack_inlet_water_temp_c,cooling_power_residual_kw,rack_water_temp_residual_c,rack_water_temp_residual_percent
8/4/2011,4:00:30 PM,0.0,5176.0,0.44,36.3,0.4458190612792969,37.04029286986625,-0.005819061279296878,-0.7402928698662521,-2.03937429715221
8/4/2011,4:59:56 PM,0.9905555555555555,5176.990555555555,0.442,36.4,0.4458190612792969,36.86534782883523,-0.003819061279296876,-0.4653478288352346,-1.2784281011956995
8/4/2011,6:00:22 PM,1.9977777777777779,5177.997777777778,0.441,36.4,0.4458190612792969,36.40665772591806,-0.004819061279296877,-0.006657725918060464,-0.018290455818847428
8/4/2011,7:00:54 PM,3.006666666666667,5179.006666666667,0.44,36.2,0.4458190612792969,36.12104028354334,-0.005819061279296878,0.07895971645666577,0.21812076369244685
8/4/2011,8:01:25 PM,4.0152777777777775,5180.015277777778,0.433,35.8,0.4458190612792969,34.81868654602725,-0.012819061279296884,0.9813134539727457,2.741099033443424
8/4/2011,9:01:54 PM,5.023333333333333,5181.0233333333335,0.433,35.2,0.4458190612792969,33.72899313884758,-0.012819061279296884,1.471006861152425,4.178996764637571
8/4/2011,10:02:17 PM,6.029722222222222,5182.0297222222225,0.438,34.2,0.4458190612792969,33.084657644310276,-0.00781906127929688,1.1153423556897266,3.261234958157095
8/4/2011,11:02:41 PM,7.036388888888889,5183.036388888889,0.437,33.3,0.4458190612792969,32.452477835677136,-0.00881906127929688,0.8475221643228608,2.545111604573156
8/5/2011,12:03:04 AM,8.042777777777777,5184.042777777778,0.439,32.6,0.4458190612792969,31.8891437807564,-0.0068190612792968786,0.7108562192436025,2.1805405498270014
8/5/2011,1:03:27 AM,9.049166666666666,5185.049166666667,0.44,32.0,0.4458190612792969,31.587207288935062,-0.005819061279296878,0.4127927110649381,1.2899772220779315
8/5/2011,2:03:49 AM,10.055277777777778,5186.0552777777775,0.443,31.2,0.4458190612792969,31.521278597505006,-0.002819061279296875,-0.32127859750500676,-1.0297390945673293
8/5/2011,3:04:12 AM,11.061666666666667,5187.0616666666665,0.441,30.8,0.4458190612792969,30.95002865628275,-0.004819061279296877,-0.15002865628274975,-0.4871060268920447
8/5/2011,4:04:34 AM,12.067777777777778,5188.067777777777,0.442,30.4,0.4458190612792969,30.875098917870577,-0.003819061279296876,-0.4750989178705787,-1.562825387732167
8/5/2011,5:04:58 AM,13.074444444444444,5189.074444444444,0.443,30.3,0.4458190612792969,30.836651402624547,-0.002819061279296875,-0.5366514026245461,-1.7711267413351357
8/5/2011,6:05:24 AM,14.081666666666667,5190.081666666667,0.448,30.4,0.4458190612792969,31.087631244752878,0.0021809387207031294,-0.687631244752879,-2.261944884055523
8/5/2011,7:05:46 AM,15.087777777777777,5191.087777777778,0.44,30.4,0.4458190612792969,31.958823894705883,-0.005819061279296878,-1.5588238947058848,-5.127710179953569
8/5/2011,8:06:10 AM,16.094444444444445,5192.094444444445,0.437,31.1,0.4458190612792969,33.18347665797438,-0.00881906127929688,-2.08347665797438,-6.69928185843852
8/5/2011,9:06:41 AM,17.103055555555557,5193.103055555555,0.432,33.3,0.4458190612792969,34.84828716099703,-0.013819061279296885,-1.5482871609970346,-4.649510993985089
8/5/2011,10:07:10 AM,18.11111111111111,5194.111111111111,0.432,35.0,0.4458190612792969,36.24872199708728,-0.013819061279296885,-1.24872199708728,-3.5677771345350857
8/5/2011,11:07:40 AM,19.119444444444444,5195.1194444444445,0.437,35.9,0.4458190612792969,36.586914731203414,-0.00881906127929688,-0.6869147312034158,-1.9134115075304061
8/5/2011,12:08:12 PM,20.128333333333334,5196.128333333333,0.449,36.6,0.4458190612792969,36.65905017106895,0.0031809387207031303,-0.05905017106894661,-0.1613392652157011
8/5/2011,1:08:44 PM,21.13722222222222,5197.137222222223,0.465,37.3,0.4458190612792969,36.81998927348661,0.019180938720703145,0.4800107265133846,1.2868920281860179
8/5/2011,1:55:08 PM,21.910555555555554,5197.910555555555,0.477,37.6,0.4458190612792969,37.80781171629618,0.0311809387207031,-0.20781171629617745,-0.5526907348302592
