Variable,NMBE [%],CVRMSE [%],ASHRAE Guideline 14 hourly check
Cooling power,-0.8342846830939934,2.4202270844059237,PASS
Inlet rack temperature,-0.6007794227009219,2.6933051323960275,Reported only
