date,time_stamp,elapsed_hours,aligned_time_hours,measured_cooling_power_kw,measured_rack_inlet_water_temp_c,predicted_cooling_power_kw,predicted_rack_inlet_water_temp_c,cooling_power_residual_kw,rack_water_temp_residual_c,rack_water_temp_residual_percent
8/4/2011,4:00:30 PM,0.0,5176.0,0.44,36.3,0.514615234375,36.98944228250097,-0.074615234375,-0.6894422825009698,-1.8992900344379338
8/4/2011,4:59:56 PM,0.9905555555555555,5176.990555555555,0.442,36.4,0.514615234375,36.907797711421466,-0.072615234375,-0.5077977114214676,-1.3950486577512846
8/4/2011,6:00:22 PM,1.9977777777777779,5177.997777777778,0.441,36.4,0.514615234375,36.63523295883692,-0.073615234375,-0.2352329588369244,-0.646244392409133
8/4/2011,7:00:54 PM,3.006666666666667,5179.006666666667,0.44,36.2,0.514615234375,36.531280222544005,-0.074615234375,-0.33128022254400236,-0.9151387363093988
8/4/2011,8:01:25 PM,4.0152777777777775,5180.015277777778,0.433,35.8,0.514615234375,35.62839968577947,-0.08161523437500001,0.17160031422052668,0.47933048664951594
8/4/2011,9:01:54 PM,5.023333333333333,5181.0233333333335,0.433,35.2,0.42983474731445315,33.35993549392872,0.003165252685546849,1.8400645060712861,5.227455983157062
8/4/2011,10:02:17 PM,6.029722222222222,5182.0297222222225,0.438,34.2,0.42983474731445315,32.88646375765595,0.008165252685546853,1.3135362423440498,3.840749246620028
8/4/2011,11:02:41 PM,7.036388888888889,5183.036388888889,0.437,33.3,0.42983474731445315,32.35660046349846,0.007165252685546852,0.9433995365015377,2.8330316411457592
8/5/2011,12:03:04 AM,8.042777777777777,5184.042777777778,0.439,32.6,0.3751002727404824,32.344670948593304,0.06389972725951759,0.25532905140669726,0.7832179491002983
8/5/2011,1:03:27 AM,9.049166666666666,5185.049166666667,0.44,32.0,0.3566773470967911,32.319010920683084,0.0833226529032089,-0.319010920683084,-0.9969091271346375
8/5/2011,2:03:49 AM,10.055277777777778,5186.0552777777775,0.443,31.2,0.35448687923927596,32.294031960294355,0.08851312076072404,-1.0940319602943553,-3.506512693251139
8/5/2011,3:04:12 AM,11.061666666666667,5187.0616666666665,0.441,30.8,0.32281812851090513,32.27034653954638,0.11818187148909487,-1.4703465395463802,-4.773852401124611
8/5/2011,4:04:34 AM,12.067777777777778,5188.067777777777,0.442,30.4,0.32189386170724316,32.24746923533094,0.12010613829275685,-1.8474692353309408,-6.077201432009674
8/5/2011,5:04:58 AM,13.074444444444444,5189.074444444444,0.443,30.3,0.32106533804256754,32.22566945055823,0.12193466195743247,-1.9256694505582281,-6.3553447213142835
8/5/2011,6:05:24 AM,14.081666666666667,5190.081666666667,0.448,30.4,0.3351363218370954,32.20519473718374,0.1128636781629046,-1.80519473718374,-5.938140582841251
8/5/2011,7:05:46 AM,15.087777777777777,5191.087777777778,0.44,30.4,0.39872382106551807,32.18584962408229,0.04127617893448193,-1.7858496240822888,-5.87450534237595
8/5/2011,8:06:10 AM,16.094444444444445,5192.094444444445,0.437,31.1,0.42983474731445315,32.857140010236954,0.007165252685546852,-1.7571400102369523,-5.649967878575409
8/5/2011,9:06:41 AM,17.103055555555557,5193.103055555555,0.432,33.3,0.42983474731445315,34.26046377683327,0.002165252685546848,-0.9604637768332722,-2.884275606105923
8/5/2011,10:07:10 AM,18.11111111111111,5194.111111111111,0.432,35.0,0.514615234375,36.48294858442717,-0.08261523437500001,-1.4829485844271701,-4.2369959555062
8/5/2011,11:07:40 AM,19.119444444444444,5195.1194444444445,0.437,35.9,0.514615234375,36.72309721517423,-0.07761523437500001,-0.8230972151742293,-2.292749902992282
8/5/2011,12:08:12 PM,20.128333333333334,5196.128333333333,0.449,36.6,0.514615234375,36.8185336110095,-0.065615234375,-0.21853361100949797,-0.5970863688784097
8/5/2011,1:08:44 PM,21.13722222222222,5197.137222222223,0.465,37.3,0.514615234375,36.95334459748546,-0.049615234374999984,0.34665540251453564,0.92937105231779
8/5/2011,1:55:08 PM,21.910555555555554,5197.910555555555,0.477,37.6,0.514615234375,37.686844452918244,-0.03761523437500003,-0.08684445291824261,-0.23096928967617716
